127.0.0.1 - - [26/Jun/2019:18:18:26 +0530] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [26/Jun/2019:18:18:27 +0530] "GET /convey/login.jsp HTTP/1.1" 200 798
0:0:0:0:0:0:0:1 - - [26/Jun/2019:18:18:27 +0530] "GET /convey/css/login.css HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [26/Jun/2019:18:18:27 +0530] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [26/Jun/2019:18:30:51 +0530] "GET /convey/loginservlet1?username=akshay&password=akshay HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jun/2019:18:30:51 +0530] "GET /convey/login.jsp HTTP/1.1" 200 798
0:0:0:0:0:0:0:1 - - [26/Jun/2019:18:30:51 +0530] "GET /convey/css/login.css HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [26/Jun/2019:18:30:51 +0530] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [26/Jun/2019:18:30:58 +0530] "GET /convey/loginservlet1?username=akagra&password=akagra HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jun/2019:18:30:58 +0530] "GET /convey/main.jsp HTTP/1.1" 200 4480
0:0:0:0:0:0:0:1 - - [26/Jun/2019:18:30:58 +0530] "GET /convey/css/main.css HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [26/Jun/2019:18:31:12 +0530] "GET /convey/profileservlet HTTP/1.1" 200 6549
0:0:0:0:0:0:0:1 - - [26/Jun/2019:18:31:12 +0530] "GET /convey/css/profile.css HTTP/1.1" 200 426
0:0:0:0:0:0:0:1 - - [26/Jun/2019:18:31:50 +0530] "GET /convey/loginservlet1?username=akshay&password=akshay HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jun/2019:18:31:50 +0530] "GET /convey/login.jsp HTTP/1.1" 200 798
0:0:0:0:0:0:0:1 - - [26/Jun/2019:18:31:50 +0530] "GET /convey/css/login.css HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [26/Jun/2019:18:33:15 +0530] "GET /convey/signup.jsp?username=&password= HTTP/1.1" 200 2203
0:0:0:0:0:0:0:1 - - [26/Jun/2019:18:33:16 +0530] "GET /convey/signup.css HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [26/Jun/2019:18:34:06 +0530] "POST /convey/Signupservlet HTTP/1.1" 500 1707
0:0:0:0:0:0:0:1 - - [26/Jun/2019:18:34:19 +0530] "POST /convey/Signupservlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jun/2019:18:34:19 +0530] "GET /convey/login.jsp HTTP/1.1" 200 798
0:0:0:0:0:0:0:1 - - [26/Jun/2019:18:34:19 +0530] "GET /convey/css/login.css HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [26/Jun/2019:18:34:42 +0530] "GET /convey/loginservlet1?username=akshay&password=akshay HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jun/2019:18:34:42 +0530] "GET /convey/main.jsp HTTP/1.1" 200 4481
0:0:0:0:0:0:0:1 - - [26/Jun/2019:18:34:43 +0530] "GET /convey/profileservlet HTTP/1.1" 200 6557
0:0:0:0:0:0:0:1 - - [26/Jun/2019:18:34:43 +0530] "GET /convey/css/profile.css HTTP/1.1" 200 426
